,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
51,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280386819054592002,BrunoSanntana,Bruno em Gel,BrunoLandia,,2020-07-07 06:23:00,Twitter Web App,0,176,,,
52,@John_F_Kennnedy @GregAbbott_TX If you look at the hardest hit countries and the narrative about it against Trump and Bolsonaro (Brazil’s president that’s fighting hard against China and communism) the left needs them out of the way. Now they’re calling Britain irresponsible (Brexit) 👀https://t.co/QpmuGNnzCj,309,1280386561482383361,CanadaPatriot3,Canada Patriot,,,2020-07-07 06:21:59,Twitter Web App,1,1,,,
53,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280385995494612992,donniecameron63,Donnie Cameron,Nova Scotia,,2020-07-07 06:19:44,Twitter Web App,0,176,,,
54,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280385936539279360,citrus_kyoto,しとらす＠京都,京都府京都市,,2020-07-07 06:19:30,Twitter Web App,0,894,,,
55,Brazil’s President Jair Bolsonaro is undergoing another test for Covid-19 after showing symptoms of the virus https://t.co/Z5Vb7l0zDI,133,1280385899499606016,sajinvest,Saj,England,,2020-07-07 06:19:21,Twitter for iPhone,0,87,,,
56,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280385719366754304,CortezFilipe,filipe cortez 🇧🇷🇧🇷🇧🇷🇧🇷,"Rio de Janeiro, Brasil",,2020-07-07 06:18:38,Twitter for Android,0,176,,,
57,"Brazil's fascist president Bolsonaro tests positive for #COVID19!  He REFUSED to take precautions, to the point of Brazilian courts fining him for not wearing a mask!  He buried data on the virus and didn't enact safety measures.  Now Brazil is in serious trouble as an epicenter. https://t.co/1AK7BiE5vk",304,1280385338423287809,ReluctantBoss,Tawane Tawane🎱,Gauteng & NW,,2020-07-07 06:17:07,Twitter for Android,0,114,,,
58,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280383860077985792,JoeCarrol6,Jackson,,,2020-07-07 06:11:15,Twitter for iPad,0,894,,,
59,#JairBolsonaro: Brazilian President Jair Bolsonaro was tested for #COVID19 after having an X-ray of his lungs. He didn't say whether he was showing symptoms of the new #coronavirus. #COVID #CoronavirusPandemic  https://t.co/iymfgUq3E7,234,1280383713759490048,kushanmitra,Kushan Mitra,"New Delhi, India",,2020-07-07 06:10:40,Twitter Web App,0,2,,,
60,#JairBolsonaro: Brazilian President Jair Bolsonaro was tested for #COVID19 after having an X-ray of his lungs. He didn't say whether he was showing symptoms of the new #coronavirus. #COVID #CoronavirusPandemic  https://t.co/iymfgUq3E7,234,1280383529285713920,TheDailyPioneer,The Pioneer,,,2020-07-07 06:09:56,Twitter Web App,1,2,,,
61,"#Fascist President of #Brazil Jair Bolsonaro who’s been an opponent of using masks, down plays the seriousness of #Covid-19 calling it a “little flu” &amp; met with @realDonaldTrump in March is exhibiting symptoms of #CoronaVirus   #TrumpLiesPeopleDie  https://t.co/7DB7z4Lmsp",276,1280383402827493381,Realhurricane,H꙰U꙰R꙰R꙰I꙰C꙰A꙰N꙰E꙰ 🏳️‍🌈,33480,,2020-07-07 06:09:26,Twitter for iPhone,1,0,,,
62,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280383351497654273,473093b4968449d,TT Thomas,,,2020-07-07 06:09:14,Twitter for Android,0,176,,,
63,BRAZIL: President Bolsonaro says he is getting tested today for COVID after not feeling well. This will be his fourth COVID test. The results of the first three came back negative.,180,1280383253912997888,odio_nao,DEMOCRACIA,,,2020-07-07 06:08:50,Twitter Web App,0,13,,,
